"","dwc.scientificName","decimalLongitude","decimalLatitude","idigbio.isoCountryCode","dwc.individualCount","coreid","dwc.taxonRank","dwc.coordinateUncertaintyInMeters","year","dwc.basisOfRecord","dwc.institutionCode","species"
"1","leptodactylus ocellatus (linnaeus, 1758)",-63.18339,-4.10944,NA,1,"0fd28cb4-60ca-4461-b706-c6e7b66853af","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"2","leptodactylus fuscus",-56.4166667,-14.8333333,NA,NA,"267351ac-a6cf-466e-a95d-c13589d089b8","species",NA,1963,"preservedspecimen","ku","Leptodactylus_fuscus"
"3","leptodactylus ocellatus",-46.72399,-23.563303,NA,1,"15d6ebdf-70f4-4b73-aeb6-24a18d5e93d4","species",2224,1961,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"4","leptodactylus troglodytes",-38.71905278,-3.888611111,NA,NA,"17d1fd3e-c20b-48eb-afa6-e97f56efc288","species",NA,1911,"preservedspecimen","cas","Leptodactylus_troglodytes"
"5","adenomera hylaedactyla",-59.59361,-4.38889,NA,NA,"0bd870d1-ee21-4182-a13a-c7a7ada6d4e3","species",3865,1943,"preservedspecimen","cas","Adenomera_hylaedactyla"
"6","adenomera hylaedactyla",-59.7333,-3.0833,NA,1,"9fcd42d3-121b-4103-9fd9-3203c8b9bfc9","species",21365,1968,"preservedspecimen","lacm","Adenomera_hylaedactyla"
"7","leptodactylus ocellatus",-44.975706,-12.364373,NA,1,"a48f3c60-b925-48ac-9ad1-aa513a139d2c","species",3036,1942,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"8","leptodactylus leptodactyloides (andersson, 1945)",-66.56667,-2.46667,NA,1,"8aa0e32e-bcc3-4237-bb05-2e443b68c5c4","species",87144,1976,"preservedspecimen","mcz","Leptodactylus_leptodactyloides"
"9","physalaemus fuscomaculatus",-44.93333,-17.35,NA,NA,"771dc44d-2239-4ff6-a555-fc50de29f5e7","species",4115,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"10","leptodactylus ocellatus",-46.72399,-23.563303,NA,1,"83e30153-e62c-4535-8e10-ff16670d1771","species",2224,1961,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"11","leptodactylus ocellatus",-35.25378889,-5.775980556,NA,NA,"84bd4fba-cc69-43fd-999f-fe32aa8dbe31","species",NA,1911,"preservedspecimen","cas","Leptodactylus_ocellatus"
"12","leptodactylus fuscus",-63.18339,-4.10944,NA,1,"89e88cc5-e7fe-4d07-b44a-99931f21cc0a","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_fuscus"
"13","leptodactylus latrans",-48.45637,-1.45,NA,NA,"baca62d9-6a13-4e64-b58e-7d3bf8dd8b58","species",NA,1970,"preservedspecimen","ku","Leptodactylus_latrans"
"14","leptodactylus ocellatus",-40.6,-19.91667,NA,NA,"a54226a6-c718-46af-953b-c60d9263c5fe","species",11115,1942,"preservedspecimen","cas","Leptodactylus_ocellatus"
"15","leptodactylus fuscus",-61.18582,1.55,NA,NA,"a5b5a67a-daf8-4f76-9e6f-fe1b37eeb7a2","species",7875,1993,"preservedspecimen","omnh","Leptodactylus_fuscus"
"16","leptodactylus rhodomystax",-48.4384,-1.45,NA,NA,"a63e5d8c-97cf-4589-88fa-ce9cfed380ff","species",NA,1969,"preservedspecimen","ku","Leptodactylus_rhodomystax"
"17","leptodactylus pentadactylus",-47.35,-21.91,NA,1,"a70fd91f-273d-4bcd-8e7f-1b6334b82f75","species",8115,1950,"preservedspecimen","cm","Leptodactylus_pentadactylus"
